,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year,Ranking,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year,Ranking,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year,Ranking,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year,Ranking,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year,Ranking
55,Bahrain,56.17,37.39,46.99,55.32,54.19,59.69,2015,56,Portugal,49.83,15.28,33.23,40.58,41.56,75.47,2016,56,Zimbabwe,51.56,13.58,33.36,44.75,39.95,27.18,2017,56,Slovakia,50.41,18.86,35.19,43.66,37.34,67.29,2018,56,Saudi Arabia,47.61,11.4,30.22,39.06,30.93,118.59,2019,56
56,Dominican Republic,55.95,12.34,34.64,55.21,44.16,28.2,2015,57,Tanzania,49.51,25.71,38.07,42.76,35.74,53.86,2016,57,Mauritius,50.39,12.62,32.29,43.28,35.81,50.77,2017,57,Czech Republic,50.09,19.07,35.13,43.62,36.03,76.35,2018,57,Thailand,47.54,17.71,33.21,50.0,24.63,40.86,2019,57
57,Latvia,55.94,13.01,34.96,44.79,47.18,44.39,2015,58,Estonia,48.94,13.5,31.91,38.5,44.13,77.42,2016,58,Chile,50.09,15.43,33.48,43.19,44.38,61.28,2017,58,Zimbabwe,49.54,12.29,31.57,44.3,37.66,27.29,2018,58,Cambodia,46.8,14.44,31.26,44.15,24.44,12.46,2019,58
58,Uzbekistan,55.92,13.74,35.31,49.89,43.13,23.16,2015,59,Croatia,48.2,9.71,29.7,40.68,37.57,67.89,2016,59,Estonia,49.5,13.98,32.47,36.74,46.76,68.48,2017,59,Oman,49.31,20.31,35.32,46.71,46.17,99.24,2018,59,Oman,46.2,19.89,33.57,40.02,44.41,88.47,2019,59
59,Brazil,55.33,18.53,37.35,44.31,45.44,41.16,2015,60,Bahrain,48.2,33.74,41.25,44.15,48.58,101.01,2016,60,Portugal,49.19,16.77,33.66,39.14,41.24,62.72,2017,60,Thailand,48.91,17.1,33.57,54.9,23.94,38.59,2018,60,El Salvador,46.11,14.19,30.78,45.57,35.55,30.09,2019,60
60,Panama,55.16,31.22,43.46,61.03,40.39,43.34,2015,61,China,48.1,23.24,36.15,53.27,29.28,77.42,2016,61,Tanzania,48.51,22.8,36.19,37.55,33.48,41.95,2017,61,Hungary,48.6,15.37,32.57,38.61,37.38,50.62,2018,61,Lithuania,45.91,12.9,30.06,35.36,43.95,60.34,2019,61
61,Kazakhstan,54.27,19.41,37.24,44.37,58.98,43.48,2015,62,Mauritius,47.89,15.12,32.14,44.1,37.22,71.93,2016,62,Saudi Arabia,48.37,14.36,32.07,40.54,30.22,138.05,2017,62,South Africa,48.05,17.91,33.51,40.66,45.74,99.83,2018,62,Nicaragua,45.83,9.54,28.4,46.36,31.14,24.52,2019,62
62,Oman,54.2,28.96,41.87,47.38,44.45,106.83,2015,63,Honduras,47.85,9.62,29.48,44.28,33.53,70.66,2016,63,Croatia,48.0,10.09,29.83,39.91,37.53,60.71,2017,63,Dominican Republic,47.9,10.3,29.77,41.87,43.65,27.43,2018,63,Czech Republic,45.12,18.27,32.23,38.08,33.25,71.32,2019,63
63,Uganda,53.9,8.34,31.64,49.84,26.6,16.91,2015,64,Saudi Arabia,47.6,13.78,31.35,41.81,30.0,167.86,2016,64,Latvia,47.83,12.09,30.7,36.72,41.16,52.45,2017,64,El Salvador,47.87,11.45,30.31,46.79,36.16,30.92,2018,64,Slovakia,44.98,16.13,31.13,38.5,33.64,63.24,2019,64
64,Namibia,53.67,20.68,37.55,46.69,51.35,42.86,2015,65,Cambodia,47.29,12.36,30.5,52.24,22.56,16.4,2016,65,Honduras,47.4,11.6,30.24,39.37,36.27,37.49,2017,65,Saudi Arabia,47.86,13.5,31.29,42.04,32.03,131.46,2018,65,Dominican Republic,44.92,10.21,28.25,35.68,42.43,26.02,2019,65
65,Palestine,53.27,7.55,30.93,48.5,35.97,46.09,2015,66,Nigeria,47.16,22.9,35.5,42.68,35.78,48.87,2016,66,Iraq,47.04,15.22,31.79,39.2,44.43,55.09,2017,66,Ethiopia,47.55,24.02,36.2,39.15,20.21,14.98,2018,66,Namibia,43.22,17.46,30.85,39.92,38.59,63.6,2019,66
66,Chile,53.21,17.12,35.58,47.77,44.59,55.11,2015,67,Latvia,47.14,12.67,30.57,36.25,40.45,61.46,2016,67,Cambodia,46.77,14.55,31.33,50.58,22.11,16.59,2017,67,Guatemala,46.87,14.59,31.3,44.62,36.81,41.3,2018,67,Brazil,42.8,11.46,27.75,31.3,34.85,37.43,2019,67
67,Honduras,53.06,10.12,32.08,49.71,33.92,62.64,2015,68,Lithuania,45.56,12.45,29.65,37.32,35.42,61.25,2016,68,Lithuania,46.73,13.25,30.69,36.15,40.08,51.67,2017,68,Zambia,46.49,19.5,33.47,40.41,33.5,101.26,2018,68,South Africa,42.49,16.5,30.01,33.88,40.79,82.97,2019,68
68,Myanmar,53.04,27.47,40.55,59.38,26.39,21.18,2015,69,Zambia,45.53,21.28,33.88,34.04,31.59,142.24,2016,69,Namibia,46.48,21.03,34.28,40.86,43.21,50.49,2017,69,Cambodia,45.92,13.55,30.31,49.33,23.07,14.94,2018,69,Honduras,42.1,10.76,27.05,33.57,31.52,35.22,2019,69
69,Lithuania,52.76,13.59,33.62,44.55,37.53,46.86,2015,70,Turkey,45.07,10.45,28.43,39.89,31.89,64.12,2016,70,Ecuador,46.1,12.44,29.97,44.87,30.41,37.77,2017,70,Poland,45.2,16.63,31.42,35.85,37.7,74.42,2018,70,Hungary,42.03,13.64,28.4,32.36,33.43,54.66,2019,70
70,Libya,52.12,19.12,35.99,58.09,47.66,44.29,2015,71,Slovakia,45.0,14.98,30.57,40.59,31.81,68.8,2016,71,Guatemala,46.01,14.31,30.82,43.88,32.63,48.18,2017,71,Tanzania,44.97,19.0,32.45,34.48,29.36,23.1,2018,71,Ecuador,41.98,11.61,27.4,37.87,29.43,40.84,2019,71
71,Slovakia,51.6,17.42,34.9,46.94,38.13,56.05,2015,72,Uzbekistan,44.67,12.55,29.23,40.76,29.35,31.11,2016,72,El Salvador,45.95,9.38,28.42,41.17,35.15,29.7,2017,72,Malaysia,44.73,11.52,28.72,48.21,23.22,72.98,2018,72,Guatemala,41.74,13.93,28.39,38.02,32.28,41.79,2019,72
72,Ethiopia,51.47,16.88,34.56,50.27,24.76,15.85,2015,73,Ecuador,44.32,12.12,28.84,43.4,27.95,47.64,2016,73,Libya,45.85,18.8,32.88,47.01,35.69,132.65,2017,73,China,44.56,18.38,31.93,47.73,29.59,72.28,2018,73,Cuba,40.5,8.11,24.95,34.3,28.29,2.47,2019,73
73,El Salvador,50.64,10.59,31.07,44.45,36.33,28.67,2015,74,Ethiopia,44.27,21.3,33.23,38.42,24.34,20.74,2016,74,Ethiopia,45.72,20.83,33.79,36.9,23.9,16.66,2017,74,Montenegro,44.41,10.85,28.22,35.75,38.08,48.68,2018,74,Iraq,39.62,11.46,26.1,34.1,31.85,47.61,2019,74
74,Guatemala,50.42,14.05,32.65,51.53,35.75,38.02,2015,75,Guatemala,44.08,11.42,28.38,41.76,33.02,51.59,2016,75,Slovakia,44.9,16.49,31.29,38.84,33.17,64.75,2017,75,Ecuador,44.28,11.18,28.32,42.85,30.82,39.39,2018,75,Montenegro,39.61,9.95,25.37,30.75,34.25,46.28,2019,75
75,Saudi Arabia,50.35,15.22,33.19,46.91,34.83,126.19,2015,76,Chile,43.88,13.12,29.1,38.49,36.25,78.4,2016,76,China,44.76,18.67,32.26,47.74,29.68,67.84,2017,76,Honduras,44.28,10.64,28.06,36.58,32.99,34.86,2018,76,Malaysia,39.38,10.92,25.71,39.7,22.75,73.14,2019,76
76,Belarus,50.2,17.64,34.29,45.38,57.88,35.82,2015,77,Fiji,43.82,15.49,30.2,49.54,34.12,42.37,2016,77,Zambia,44.73,21.94,33.81,33.83,32.32,89.93,2017,77,Russia,43.89,16.61,30.73,35.9,45.91,51.11,2018,77,China,39.24,17.36,28.73,39.93,28.18,68.95,2019,77
77,Kenya,50.01,17.11,33.93,50.55,34.83,28.74,2015,78,El Salvador,42.56,9.76,26.79,38.38,28.83,43.15,2016,78,Thailand,43.71,14.94,29.92,48.31,21.42,34.28,2017,78,Iraq,43.88,12.84,28.91,37.67,38.4,51.2,2018,78,Poland,39.13,14.92,27.5,30.66,32.72,70.0,2019,78
78,Turkey,49.55,11.5,30.96,39.94,38.74,53.63,2015,79,Czech Republic,41.8,14.45,28.66,36.51,28.34,89.88,2016,79,South Africa,43.12,16.33,30.28,36.27,40.2,98.96,2017,79,Turkey,41.8,10.38,26.65,36.17,31.23,53.78,2018,79,Kenya,38.21,10.05,24.69,33.23,31.22,32.46,2019,79
79,Peru,49.43,17.01,33.58,47.65,34.29,30.64,2015,80,Hungary,41.29,10.54,26.51,33.18,30.75,56.3,2016,80,Hungary,42.77,12.67,28.35,33.62,32.72,47.52,2017,80,Bulgaria,41.21,9.81,26.06,35.2,33.61,54.44,2018,80,Vietnam,37.7,13.1,25.88,37.87,18.89,33.33,2019,80
80,Hungary,48.9,9.52,29.66,39.3,37.78,46.85,2015,81,Iran,41.12,16.38,29.23,38.6,35.05,47.73,2016,81,Russia,42.01,17.58,30.3,33.58,43.85,48.27,2017,81,Indonesia,39.74,8.5,24.68,43.52,19.5,37.49,2018,81,Bulgaria,37.17,9.15,23.72,31.15,29.86,52.18,2019,81
81,China,48.89,22.42,35.96,50.18,36.52,48.64,2015,82,Thailand,40.02,15.18,28.08,43.8,20.22,40.06,2016,82,Czech Republic,41.22,14.83,28.57,35.84,27.99,76.22,2017,82,Romania,39.71,10.85,25.79,32.83,33.28,66.2,2018,82,Peru,37.17,11.96,25.06,32.69,23.68,37.47,2019,82
82,Czech Republic,48.5,16.61,32.92,43.78,33.04,68.07,2015,83,Kenya,39.84,12.66,26.78,37.86,29.11,31.07,2016,83,Indonesia,41.11,11.66,26.99,45.8,20.29,27.61,2017,83,Peru,39.64,14.4,27.47,35.87,26.29,37.07,2018,83,Romania,36.45,10.0,23.75,29.88,32.26,61.16,2019,83
83,Iraq,48.21,17.97,33.43,41.85,43.29,41.2,2015,84,Namibia,39.74,16.67,28.65,32.66,35.68,49.16,2016,84,Malaysia,40.24,11.19,26.32,42.44,20.87,73.34,2017,84,Serbia,39.59,8.44,24.57,29.95,31.45,41.81,2018,84,Indonesia,36.24,8.43,22.88,38.14,18.02,32.95,2019,84
84,Montenegro,48.09,9.59,29.27,40.34,41.46,40.24,2015,85,Libya,39.66,14.08,27.36,39.71,32.17,62.51,2016,85,Vietnam,40.11,15.49,28.31,39.6,20.46,24.77,2017,85,Vietnam,39.44,15.11,27.71,39.09,19.96,30.09,2018,85,Albania,36.17,8.21,22.74,28.59,29.34,33.81,2019,85
85,Nicaragua,47.85,7.9,28.33,43.27,28.34,20.62,2015,86,Vietnam,39.5,13.94,27.22,39.51,18.24,25.88,2016,86,Peru,39.47,17.23,28.81,36.17,25.5,41.2,2017,86,Bosnia And Herzegovina,39.26,6.94,23.68,33.76,26.68,52.4,2018,86,Iran,35.8,16.92,26.73,32.63,26.88,37.74,2019,86
86,Thailand,46.52,16.72,31.96,52.74,24.72,38.75,2015,87,Montenegro,39.49,9.2,24.93,31.77,35.84,52.5,2016,87,Montenegro,39.35,9.54,25.06,31.1,35.03,46.61,2017,87,Kenya,38.72,8.67,24.23,36.57,31.61,32.06,2018,87,Bosnia And Herzegovina,35.72,6.32,21.6,28.81,23.78,49.18,2019,87
87,Malaysia,45.97,13.41,30.06,45.88,25.44,73.54,2015,88,Belarus,39.45,13.25,26.86,32.44,49.3,39.16,2016,88,Kenya,39.0,9.68,24.95,37.65,29.98,30.99,2017,88,Albania,37.88,7.33,23.15,30.87,29.08,37.03,2018,88,Russia,35.52,12.68,24.55,29.18,37.0,45.38,2019,88
88,South Africa,45.58,16.95,31.59,40.41,41.52,101.78,2015,89,Brazil,38.88,12.3,26.1,29.92,31.55,48.69,2016,89,Bolivia,38.65,11.07,25.43,32.13,27.97,46.74,2017,89,Morocco,37.12,11.46,24.74,33.26,25.76,45.07,2018,89,Serbia,35.39,8.08,22.27,26.3,27.84,39.9,2019,89
89,Ecuador,45.57,14.01,30.15,46.26,29.26,28.0,2015,90,Poland,38.53,13.54,26.52,30.76,31.71,80.77,2016,90,Turkey,38.6,10.56,25.16,33.46,26.45,55.64,2017,90,Bolivia,36.53,9.87,23.67,28.84,28.52,44.68,2018,90,Turkey,35.21,7.23,21.78,30.45,23.65,45.33,2019,90
90,Poland,45.11,15.13,30.46,36.5,38.77,63.49,2015,91,Russia,38.48,17.13,28.22,32.22,42.05,57.42,2016,91,Venezuela,38.3,7.51,23.55,39.4,37.34,3.35,2017,91,Philippines,35.99,8.04,22.51,34.3,20.94,34.02,2018,91,Philippines,35.09,8.09,22.12,32.61,19.67,29.46,2019,91
91,Iran,44.53,17.77,31.46,45.98,40.07,30.65,2015,92,Peru,38.04,13.07,26.04,35.46,25.22,47.52,2016,92,Iran,38.26,17.05,28.09,33.53,33.17,43.18,2017,92,Colombia,35.29,10.13,23.16,29.52,26.68,38.59,2018,92,Tanzania,34.74,16.03,25.76,28.59,25.15,22.71,2019,92
92,Bulgaria,43.57,9.49,26.91,38.5,33.81,39.88,2015,93,Botswana,37.65,8.49,23.64,31.46,29.96,76.27,2016,93,Poland,38.15,13.93,26.54,29.69,31.53,71.75,2017,93,North Macedonia,34.84,6.91,21.37,28.73,23.64,42.55,2018,93,Bolivia,34.37,10.88,23.09,26.9,27.96,44.05,2019,93
93,Serbia,43.29,8.47,26.28,35.0,37.2,39.15,2015,94,Malaysia,37.47,11.06,24.78,37.54,19.85,96.34,2016,94,Nigeria,36.82,17.62,27.62,37.02,22.37,25.23,2017,94,Nigeria,34.65,15.97,25.64,35.8,22.06,19.56,2018,94,Morocco,33.98,9.48,22.21,29.85,23.85,41.4,2019,94
94,Romania,42.39,10.01,26.57,37.43,35.06,40.62,2015,95,Bolivia,37.44,10.02,24.27,30.58,24.42,53.95,2016,95,Bulgaria,36.49,8.91,23.27,30.49,29.56,51.4,2017,95,Iran,34.56,15.9,25.56,31.0,27.27,45.6,2018,95,Belarus,33.12,9.96,22.0,27.77,35.98,44.64,2019,95
95,Bosnia And Herzegovina,42.3,7.31,25.2,37.52,29.14,44.74,2015,96,Egypt,36.71,9.63,23.69,33.13,31.8,40.3,2016,96,Bangladesh,36.1,5.61,21.49,32.71,24.86,37.0,2017,96,Sri Lanka,34.32,8.33,21.78,38.38,19.69,29.56,2018,96,Argentina,33.09,9.48,21.75,26.25,32.5,55.0,2019,96
96,Albania,41.95,8.55,25.63,34.1,33.21,34.79,2015,97,Bulgaria,36.36,8.45,22.95,30.9,29.89,59.19,2016,97,Romania,35.63,9.59,23.15,29.05,30.16,53.44,2017,97,Kazakhstan,34.25,11.23,23.15,28.06,35.41,40.75,2018,97,Mexico,32.71,10.06,21.83,30.3,30.23,49.98,2019,97
97,Vietnam,41.86,14.86,28.67,39.42,22.69,21.32,2015,98,Indonesia,36.33,9.86,23.61,40.9,18.41,35.51,2016,98,Morocco,35.53,10.44,23.5,31.51,23.89,41.2,2017,98,Belarus,34.06,10.58,22.74,27.91,35.76,41.32,2018,98,Armenia,32.51,9.9,21.65,25.77,32.53,33.06,2019,98
98,Sri Lanka,41.66,10.74,26.55,50.79,22.81,28.24,2015,99,Morocco,35.56,9.67,23.12,31.74,23.98,48.74,2016,99,Bosnia And Herzegovina,35.05,6.22,21.23,29.76,24.22,51.29,2017,99,Mexico,33.56,9.51,21.96,32.18,29.48,58.18,2018,99,Paraguay,32.27,9.38,21.28,26.03,25.75,35.57,2019,99
99,Ukraine,41.29,12.68,27.31,35.53,38.18,27.87,2015,100,Bangladesh,35.5,5.3,20.99,32.58,21.26,44.48,2016,100,Philippines,34.71,7.32,21.58,33.95,19.86,36.0,2017,100,Armenia,33.45,8.81,21.57,27.75,31.21,31.78,2018,100,Moldova,32.26,7.97,20.6,24.97,27.71,30.75,2019,100
100,Mexico,41.26,11.71,26.82,42.35,33.27,59.51,2015,101,Armenia,35.49,9.77,23.13,28.3,30.98,33.08,2016,101,Colombia,34.45,10.69,23.06,28.76,24.97,37.63,2017,101,Moldova,33.1,8.75,21.36,26.64,23.52,29.27,2018,101,Bangladesh,31.83,5.44,19.16,29.52,18.97,39.82,2019,101
101,Armenia,40.68,9.65,25.52,33.2,32.71,27.74,2015,102,Mexico,35.01,9.88,22.93,33.71,28.19,76.51,2016,102,Uganda,34.14,6.83,21.05,29.41,20.79,19.42,2017,102,Uganda,32.67,6.83,20.21,28.32,23.17,21.39,2018,102,North Macedonia,31.58,6.47,19.52,24.85,23.67,39.83,2019,102
102,Kosovo (Disputed Territory),40.17,14.76,27.75,30.52,29.75,29.19,2015,103,Romania,34.8,8.63,22.22,28.79,29.17,61.9,2016,103,Armenia,33.87,9.91,22.39,26.83,31.03,32.88,2017,103,Nepal,32.62,4.43,19.02,30.18,19.03,25.33,2018,103,Nigeria,31.25,28.97,30.15,31.76,19.2,15.13,2019,103
103,Bolivia,40.02,10.84,25.76,33.95,26.01,41.1,2015,104,South Africa,34.75,13.18,24.38,29.15,32.27,126.1,2016,104,Belarus,33.84,12.21,23.47,27.19,37.6,36.43,2017,104,Venezuela,32.21,7.62,20.35,33.83,26.7,4.0,2018,104,Algeria,30.56,5.51,18.53,32.0,16.38,32.93,2019,104
104,Philippines,40.0,7.53,24.13,41.14,23.13,35.41,2015,105,Philippines,34.73,6.72,21.27,34.56,18.59,42.86,2016,105,Serbia,33.79,7.25,21.07,24.96,27.2,40.8,2017,105,Algeria,32.13,6.05,19.55,33.8,17.6,35.98,2018,105,Uganda,30.25,8.51,19.81,26.09,21.9,22.72,2019,105
105,Morocco,39.78,10.26,25.36,34.82,32.35,35.49,2015,106,Bosnia And Herzegovina,34.59,5.83,20.77,29.77,24.07,60.64,2016,106,Sri Lanka,33.47,8.74,21.62,36.79,19.51,30.28,2017,106,Bangladesh,31.99,5.55,19.24,30.25,21.2,39.57,2018,106,Sri Lanka,30.24,7.57,19.36,33.57,17.36,27.34,2019,106
106,Georgia,39.56,11.94,26.06,31.82,37.93,26.21,2015,107,Sri Lanka,34.11,8.6,21.85,38.52,21.15,32.95,2016,107,Albania,32.42,6.3,19.9,26.07,25.06,34.49,2017,107,Azerbaijan,30.62,9.5,20.43,27.43,30.59,28.71,2018,107,Colombia,30.15,9.17,20.07,24.33,22.46,34.66,2019,107
107,Indonesia,39.35,13.85,26.89,44.12,21.91,26.01,2015,108,Albania,33.81,7.12,20.98,27.33,27.59,43.58,2016,108,Algeria,32.38,6.83,20.14,32.5,20.12,36.66,2017,108,Georgia,29.66,9.76,20.06,24.59,29.15,35.5,2018,108,Kazakhstan,29.83,9.78,20.2,23.75,29.83,38.83,2019,108
108,Bangladesh,39.22,5.85,22.91,40.11,25.52,33.43,2015,109,Serbia,33.56,6.69,20.65,25.77,25.64,49.62,2016,109,North Macedonia,30.93,6.02,18.99,25.41,20.74,39.85,2017,109,Kosovo (Disputed Territory),29.44,8.65,19.41,26.29,20.97,59.23,2018,109,Nepal,29.63,4.6,17.61,25.4,19.74,26.28,2019,109
109,Colombia,38.92,12.91,26.21,36.21,29.61,36.08,2015,110,Syria,31.75,8.02,20.35,29.84,23.68,25.83,2016,110,Kazakhstan,30.74,11.27,21.41,24.83,32.04,44.84,2017,110,Syria,27.81,5.12,16.87,26.23,22.16,11.32,2018,110,Azerbaijan,29.12,8.72,19.32,24.08,30.67,32.01,2019,110
110,Syria,38.24,10.35,24.61,35.37,31.25,23.11,2015,111,North Macedonia,31.05,5.92,18.97,26.14,21.17,46.74,2016,111,Nepal,30.02,3.36,17.24,26.38,16.27,25.09,2017,111,Tunisia,27.67,5.81,17.13,26.41,17.05,38.23,2018,111,Georgia,28.78,8.53,19.05,23.39,27.09,33.19,2019,111
111,North Macedonia,37.41,7.02,22.56,31.99,28.48,35.48,2015,112,Tunisia,30.67,7.05,19.32,29.9,18.34,46.24,2016,112,Mexico,29.81,8.37,19.53,28.06,25.8,60.08,2017,112,India,26.88,6.77,17.18,27.46,18.34,79.27,2018,112,Ukraine,27.94,9.53,19.1,22.47,22.14,32.72,2019,112
112,Egypt,37.22,9.01,23.43,35.09,32.04,25.84,2015,113,Colombia,29.25,9.46,19.74,24.72,20.86,45.99,2016,113,Tunisia,28.74,6.1,17.89,27.58,16.95,40.19,2017,113,Ukraine,25.98,8.85,17.72,20.38,18.62,30.24,2018,113,Uzbekistan,27.11,8.27,18.06,23.9,21.14,25.09,2019,113
113,Moldova,34.72,7.69,21.51,29.75,28.38,23.7,2015,114,Azerbaijan,28.93,11.08,20.35,24.16,28.41,41.07,2016,114,Moldova,28.37,7.85,18.54,21.97,20.32,29.38,2017,114,Egypt,25.69,5.07,15.75,23.01,21.02,24.67,2018,114,Egypt,26.46,5.01,16.16,23.19,22.26,23.67,2019,114
114,Algeria,34.1,7.83,21.26,33.95,26.96,36.94,2015,115,Algeria,28.89,7.1,18.42,30.5,18.77,49.46,2016,115,Syria,28.31,5.98,17.61,26.72,22.21,14.08,2017,115,Pakistan,25.08,5.29,15.54,23.81,19.02,41.11,2018,115,Kosovo (Disputed Territory),26.18,8.05,17.48,23.21,19.57,61.82,2019,115
