,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
0,Bermuda,133.68,120.12,127.17,131.95,121.27,118.54,2015
1,Switzerland,123.1,55.14,90.44,123.86,119.14,178.74,2015
2,Bahamas,107.54,38.21,74.22,107.12,88.43,58.96,2015
3,Norway,99.8,37.04,69.64,93.27,110.77,125.75,2015
4,Iceland,96.45,35.45,67.13,91.4,98.82,93.98,2015
5,Denmark,84.88,30.83,58.9,69.2,97.88,142.14,2015
6,Singapore,83.67,73.88,78.97,75.83,53.75,110.5,2015
7,Luxembourg,82.01,48.87,66.08,69.16,90.33,154.4,2015
8,Kuwait,81.62,38.26,60.78,96.13,46.01,113.6,2015
9,Hong Kong,81.48,82.57,82.0,88.8,50.73,102.32,2015
10,Japan,81.25,29.75,56.5,86.9,47.45,117.55,2015
11,United Kingdom,81.03,36.29,59.53,68.48,86.68,120.0,2015
12,Australia,78.45,40.95,60.43,74.68,74.85,147.25,2015
13,New Zealand,78.17,29.71,54.88,72.06,75.37,115.47,2015
14,Ireland,78.03,37.87,58.73,66.59,82.3,125.66,2015
15,Israel,75.75,26.78,52.21,65.71,77.27,115.54,2015
16,Sweden,75.7,25.21,51.44,67.89,79.18,128.22,2015
17,Belgium,75.44,31.42,54.28,67.15,82.87,106.69,2015
18,France,75.3,26.22,51.72,69.62,73.48,118.51,2015
19,Finland,75.25,26.98,52.05,66.59,76.85,132.93,2015
20,United States,74.08,38.39,56.93,75.69,69.13,139.17,2015
21,South Korea,73.18,34.41,54.55,86.23,41.18,120.64,2015
22,Netherlands,72.12,31.76,52.72,56.11,80.73,129.34,2015
23,Qatar,69.99,74.5,72.16,59.46,69.32,141.86,2015
24,Italy,68.77,21.49,46.05,58.64,75.27,105.67,2015
25,Puerto Rico,66.73,19.7,44.13,65.94,58.71,108.26,2015
26,Austria,66.59,26.15,47.16,61.71,62.64,120.46,2015
27,United Arab Emirates,66.09,68.25,67.13,57.23,59.85,136.43,2015
28,Germany,65.54,24.01,45.58,53.12,60.68,147.61,2015
29,Canada,64.82,26.83,46.56,65.04,60.04,134.81,2015
30,Argentina,64.09,18.07,41.97,52.51,64.19,74.92,2015
31,Macao,64.06,43.47,54.17,55.85,46.43,99.42,2015
32,Ghana,63.44,53.34,58.59,59.32,51.88,18.44,2015
33,Lebanon,63.08,35.05,49.61,48.75,59.7,66.57,2015
34,Malta,61.36,20.23,41.59,51.89,66.63,82.77,2015
35,Venezuela,60.02,11.51,36.71,73.7,47.09,14.27,2015
36,Belize,59.42,11.88,36.57,51.2,38.11,146.27,2015
37,Costa Rica,57.76,16.15,37.76,56.87,46.54,67.59,2015
38,Cyprus,56.99,13.1,35.9,48.0,59.72,93.84,2015
39,Spain,56.11,18.86,38.21,46.02,56.99,105.31,2015
40,Taiwan,55.84,14.71,36.07,64.6,25.14,106.38,2015
41,Jamaica,55.7,12.56,34.97,54.12,38.73,48.83,2015
42,Trinidad And Tobago,55.67,22.45,39.71,53.8,48.58,68.21,2015
43,Uruguay,55.63,15.81,36.49,48.14,52.75,50.59,2015
44,Zimbabwe,54.51,14.59,35.32,46.0,45.37,36.42,2015
45,Greece,54.4,9.51,32.82,44.75,55.07,79.27,2015
46,Oman,53.12,24.73,39.48,47.08,43.86,148.16,2015
47,Jordan,53.08,12.04,33.35,43.75,52.38,50.89,2015
48,Palestine,52.88,9.19,31.88,49.77,38.04,53.54,2015
49,Panama,52.57,30.53,41.98,55.25,40.41,48.09,2015
50,Slovenia,52.19,14.71,34.18,42.78,42.78,89.76,2015
51,Brunei,51.93,20.2,36.68,50.61,33.04,94.3,2015
52,Myanmar,51.57,20.19,36.49,49.64,28.36,33.35,2015
53,Dominican Republic,51.38,12.07,32.49,48.0,39.33,36.44,2015
54,Iraq,50.56,17.4,34.63,42.06,45.93,57.22,2015
55,Portugal,49.83,15.28,33.23,40.58,41.56,75.47,2015
56,Tanzania,49.51,25.71,38.07,42.76,35.74,53.86,2015
57,Estonia,48.94,13.5,31.91,38.5,44.13,77.42,2015
58,Croatia,48.2,9.71,29.7,40.68,37.57,67.89,2015
59,Bahrain,48.2,33.74,41.25,44.15,48.58,101.01,2015
60,China,48.1,23.24,36.15,53.27,29.28,77.42,2015
61,Mauritius,47.89,15.12,32.14,44.1,37.22,71.93,2015
62,Honduras,47.85,9.62,29.48,44.28,33.53,70.66,2015
63,Saudi Arabia,47.6,13.78,31.35,41.81,30.0,167.86,2015
64,Cambodia,47.29,12.36,30.5,52.24,22.56,16.4,2015
65,Nigeria,47.16,22.9,35.5,42.68,35.78,48.87,2015
66,Latvia,47.14,12.67,30.57,36.25,40.45,61.46,2015
67,Lithuania,45.56,12.45,29.65,37.32,35.42,61.25,2015
68,Zambia,45.53,21.28,33.88,34.04,31.59,142.24,2015
69,Turkey,45.07,10.45,28.43,39.89,31.89,64.12,2015
70,Slovakia,45.0,14.98,30.57,40.59,31.81,68.8,2015
71,Uzbekistan,44.67,12.55,29.23,40.76,29.35,31.11,2015
72,Ecuador,44.32,12.12,28.84,43.4,27.95,47.64,2015
73,Ethiopia,44.27,21.3,33.23,38.42,24.34,20.74,2015
74,Guatemala,44.08,11.42,28.38,41.76,33.02,51.59,2015
75,Chile,43.88,13.12,29.1,38.49,36.25,78.4,2015
76,Fiji,43.82,15.49,30.2,49.54,34.12,42.37,2015
77,El Salvador,42.56,9.76,26.79,38.38,28.83,43.15,2015
78,Czech Republic,41.8,14.45,28.66,36.51,28.34,89.88,2015
79,Hungary,41.29,10.54,26.51,33.18,30.75,56.3,2015
80,Iran,41.12,16.38,29.23,38.6,35.05,47.73,2015
81,Thailand,40.02,15.18,28.08,43.8,20.22,40.06,2015
82,Kenya,39.84,12.66,26.78,37.86,29.11,31.07,2015
83,Namibia,39.74,16.67,28.65,32.66,35.68,49.16,2015
84,Libya,39.66,14.08,27.36,39.71,32.17,62.51,2015
85,Vietnam,39.5,13.94,27.22,39.51,18.24,25.88,2015
86,Montenegro,39.49,9.2,24.93,31.77,35.84,52.5,2015
87,Belarus,39.45,13.25,26.86,32.44,49.3,39.16,2015
88,Brazil,38.88,12.3,26.1,29.92,31.55,48.69,2015
89,Poland,38.53,13.54,26.52,30.76,31.71,80.77,2015
90,Russia,38.48,17.13,28.22,32.22,42.05,57.42,2015
91,Peru,38.04,13.07,26.04,35.46,25.22,47.52,2015
92,Botswana,37.65,8.49,23.64,31.46,29.96,76.27,2015
93,Malaysia,37.47,11.06,24.78,37.54,19.85,96.34,2015
94,Bolivia,37.44,10.02,24.27,30.58,24.42,53.95,2015
95,Egypt,36.71,9.63,23.69,33.13,31.8,40.3,2015
96,Bulgaria,36.36,8.45,22.95,30.9,29.89,59.19,2015
97,Indonesia,36.33,9.86,23.61,40.9,18.41,35.51,2015
98,Morocco,35.56,9.67,23.12,31.74,23.98,48.74,2015
99,Bangladesh,35.5,5.3,20.99,32.58,21.26,44.48,2015
100,Armenia,35.49,9.77,23.13,28.3,30.98,33.08,2015
101,Mexico,35.01,9.88,22.93,33.71,28.19,76.51,2015
102,Romania,34.8,8.63,22.22,28.79,29.17,61.9,2015
103,South Africa,34.75,13.18,24.38,29.15,32.27,126.1,2015
104,Philippines,34.73,6.72,21.27,34.56,18.59,42.86,2015
105,Bosnia And Herzegovina,34.59,5.83,20.77,29.77,24.07,60.64,2015
106,Sri Lanka,34.11,8.6,21.85,38.52,21.15,32.95,2015
107,Albania,33.81,7.12,20.98,27.33,27.59,43.58,2015
108,Serbia,33.56,6.69,20.65,25.77,25.64,49.62,2015
109,Syria,31.75,8.02,20.35,29.84,23.68,25.83,2015
110,North Macedonia,31.05,5.92,18.97,26.14,21.17,46.74,2015
111,Tunisia,30.67,7.05,19.32,29.9,18.34,46.24,2015
112,Colombia,29.25,9.46,19.74,24.72,20.86,45.99,2015
113,Azerbaijan,28.93,11.08,20.35,24.16,28.41,41.07,2015
114,Algeria,28.89,7.1,18.42,30.5,18.77,49.46,2015
115,Georgia,28.71,10.64,20.02,24.61,26.9,30.88,2015
116,Ukraine,28.56,9.47,19.39,22.43,22.75,29.66,2015
117,Nepal,27.34,3.0,15.64,24.99,14.43,31.2,2015
118,Kazakhstan,26.82,9.53,18.52,21.48,27.65,59.3,2015
119,Pakistan,26.69,4.68,16.11,25.4,20.64,43.34,2015
120,Moldova,25.7,7.12,16.77,20.38,18.64,32.04,2015
121,India,24.14,6.37,15.6,24.92,15.31,89.65,2015
0,Bermuda,133.68,120.12,127.17,131.95,121.27,118.54,2016
1,Switzerland,123.1,55.14,90.44,123.86,119.14,178.74,2016
2,Bahamas,107.54,38.21,74.22,107.12,88.43,58.96,2016
3,Norway,99.8,37.04,69.64,93.27,110.77,125.75,2016
4,Iceland,96.45,35.45,67.13,91.4,98.82,93.98,2016
5,Denmark,84.88,30.83,58.9,69.2,97.88,142.14,2016
6,Singapore,83.67,73.88,78.97,75.83,53.75,110.5,2016
7,Luxembourg,82.01,48.87,66.08,69.16,90.33,154.4,2016
8,Kuwait,81.62,38.26,60.78,96.13,46.01,113.6,2016
9,Hong Kong,81.48,82.57,82.0,88.8,50.73,102.32,2016
10,Japan,81.25,29.75,56.5,86.9,47.45,117.55,2016
11,United Kingdom,81.03,36.29,59.53,68.48,86.68,120.0,2016
12,Australia,78.45,40.95,60.43,74.68,74.85,147.25,2016
13,New Zealand,78.17,29.71,54.88,72.06,75.37,115.47,2016
14,Ireland,78.03,37.87,58.73,66.59,82.3,125.66,2016
15,Israel,75.75,26.78,52.21,65.71,77.27,115.54,2016
16,Sweden,75.7,25.21,51.44,67.89,79.18,128.22,2016
17,Belgium,75.44,31.42,54.28,67.15,82.87,106.69,2016
18,France,75.3,26.22,51.72,69.62,73.48,118.51,2016
19,Finland,75.25,26.98,52.05,66.59,76.85,132.93,2016
20,United States,74.08,38.39,56.93,75.69,69.13,139.17,2016
21,South Korea,73.18,34.41,54.55,86.23,41.18,120.64,2016
22,Netherlands,72.12,31.76,52.72,56.11,80.73,129.34,2016
23,Qatar,69.99,74.5,72.16,59.46,69.32,141.86,2016
24,Italy,68.77,21.49,46.05,58.64,75.27,105.67,2016
25,Puerto Rico,66.73,19.7,44.13,65.94,58.71,108.26,2016
26,Austria,66.59,26.15,47.16,61.71,62.64,120.46,2016
27,United Arab Emirates,66.09,68.25,67.13,57.23,59.85,136.43,2016
28,Germany,65.54,24.01,45.58,53.12,60.68,147.61,2016
29,Canada,64.82,26.83,46.56,65.04,60.04,134.81,2016
30,Argentina,64.09,18.07,41.97,52.51,64.19,74.92,2016
31,Macao,64.06,43.47,54.17,55.85,46.43,99.42,2016
32,Ghana,63.44,53.34,58.59,59.32,51.88,18.44,2016
33,Lebanon,63.08,35.05,49.61,48.75,59.7,66.57,2016
34,Malta,61.36,20.23,41.59,51.89,66.63,82.77,2016
35,Venezuela,60.02,11.51,36.71,73.7,47.09,14.27,2016
36,Belize,59.42,11.88,36.57,51.2,38.11,146.27,2016
37,Costa Rica,57.76,16.15,37.76,56.87,46.54,67.59,2016
38,Cyprus,56.99,13.1,35.9,48.0,59.72,93.84,2016
39,Spain,56.11,18.86,38.21,46.02,56.99,105.31,2016
40,Taiwan,55.84,14.71,36.07,64.6,25.14,106.38,2016
41,Jamaica,55.7,12.56,34.97,54.12,38.73,48.83,2016
42,Trinidad And Tobago,55.67,22.45,39.71,53.8,48.58,68.21,2016
43,Uruguay,55.63,15.81,36.49,48.14,52.75,50.59,2016
44,Zimbabwe,54.51,14.59,35.32,46.0,45.37,36.42,2016
45,Greece,54.4,9.51,32.82,44.75,55.07,79.27,2016
46,Oman,53.12,24.73,39.48,47.08,43.86,148.16,2016
47,Jordan,53.08,12.04,33.35,43.75,52.38,50.89,2016
48,Palestine,52.88,9.19,31.88,49.77,38.04,53.54,2016
49,Panama,52.57,30.53,41.98,55.25,40.41,48.09,2016
50,Slovenia,52.19,14.71,34.18,42.78,42.78,89.76,2016
51,Brunei,51.93,20.2,36.68,50.61,33.04,94.3,2016
52,Myanmar,51.57,20.19,36.49,49.64,28.36,33.35,2016
53,Dominican Republic,51.38,12.07,32.49,48.0,39.33,36.44,2016
54,Iraq,50.56,17.4,34.63,42.06,45.93,57.22,2016
55,Portugal,49.83,15.28,33.23,40.58,41.56,75.47,2016
56,Tanzania,49.51,25.71,38.07,42.76,35.74,53.86,2016
57,Estonia,48.94,13.5,31.91,38.5,44.13,77.42,2016
58,Croatia,48.2,9.71,29.7,40.68,37.57,67.89,2016
59,Bahrain,48.2,33.74,41.25,44.15,48.58,101.01,2016
60,China,48.1,23.24,36.15,53.27,29.28,77.42,2016
61,Mauritius,47.89,15.12,32.14,44.1,37.22,71.93,2016
62,Honduras,47.85,9.62,29.48,44.28,33.53,70.66,2016
63,Saudi Arabia,47.6,13.78,31.35,41.81,30.0,167.86,2016
64,Cambodia,47.29,12.36,30.5,52.24,22.56,16.4,2016
65,Nigeria,47.16,22.9,35.5,42.68,35.78,48.87,2016
66,Latvia,47.14,12.67,30.57,36.25,40.45,61.46,2016
67,Lithuania,45.56,12.45,29.65,37.32,35.42,61.25,2016
68,Zambia,45.53,21.28,33.88,34.04,31.59,142.24,2016
69,Turkey,45.07,10.45,28.43,39.89,31.89,64.12,2016
70,Slovakia,45.0,14.98,30.57,40.59,31.81,68.8,2016
71,Uzbekistan,44.67,12.55,29.23,40.76,29.35,31.11,2016
72,Ecuador,44.32,12.12,28.84,43.4,27.95,47.64,2016
73,Ethiopia,44.27,21.3,33.23,38.42,24.34,20.74,2016
74,Guatemala,44.08,11.42,28.38,41.76,33.02,51.59,2016
75,Chile,43.88,13.12,29.1,38.49,36.25,78.4,2016
76,Fiji,43.82,15.49,30.2,49.54,34.12,42.37,2016
77,El Salvador,42.56,9.76,26.79,38.38,28.83,43.15,2016
78,Czech Republic,41.8,14.45,28.66,36.51,28.34,89.88,2016
79,Hungary,41.29,10.54,26.51,33.18,30.75,56.3,2016
80,Iran,41.12,16.38,29.23,38.6,35.05,47.73,2016
81,Thailand,40.02,15.18,28.08,43.8,20.22,40.06,2016
82,Kenya,39.84,12.66,26.78,37.86,29.11,31.07,2016
83,Namibia,39.74,16.67,28.65,32.66,35.68,49.16,2016
84,Libya,39.66,14.08,27.36,39.71,32.17,62.51,2016
85,Vietnam,39.5,13.94,27.22,39.51,18.24,25.88,2016
86,Montenegro,39.49,9.2,24.93,31.77,35.84,52.5,2016
87,Belarus,39.45,13.25,26.86,32.44,49.3,39.16,2016
88,Brazil,38.88,12.3,26.1,29.92,31.55,48.69,2016
89,Poland,38.53,13.54,26.52,30.76,31.71,80.77,2016
90,Russia,38.48,17.13,28.22,32.22,42.05,57.42,2016
91,Peru,38.04,13.07,26.04,35.46,25.22,47.52,2016
92,Botswana,37.65,8.49,23.64,31.46,29.96,76.27,2016
93,Malaysia,37.47,11.06,24.78,37.54,19.85,96.34,2016
94,Bolivia,37.44,10.02,24.27,30.58,24.42,53.95,2016
95,Egypt,36.71,9.63,23.69,33.13,31.8,40.3,2016
96,Bulgaria,36.36,8.45,22.95,30.9,29.89,59.19,2016
97,Indonesia,36.33,9.86,23.61,40.9,18.41,35.51,2016
98,Morocco,35.56,9.67,23.12,31.74,23.98,48.74,2016
99,Bangladesh,35.5,5.3,20.99,32.58,21.26,44.48,2016
100,Armenia,35.49,9.77,23.13,28.3,30.98,33.08,2016
101,Mexico,35.01,9.88,22.93,33.71,28.19,76.51,2016
102,Romania,34.8,8.63,22.22,28.79,29.17,61.9,2016
103,South Africa,34.75,13.18,24.38,29.15,32.27,126.1,2016
104,Philippines,34.73,6.72,21.27,34.56,18.59,42.86,2016
105,Bosnia And Herzegovina,34.59,5.83,20.77,29.77,24.07,60.64,2016
106,Sri Lanka,34.11,8.6,21.85,38.52,21.15,32.95,2016
107,Albania,33.81,7.12,20.98,27.33,27.59,43.58,2016
108,Serbia,33.56,6.69,20.65,25.77,25.64,49.62,2016
109,Syria,31.75,8.02,20.35,29.84,23.68,25.83,2016
110,North Macedonia,31.05,5.92,18.97,26.14,21.17,46.74,2016
111,Tunisia,30.67,7.05,19.32,29.9,18.34,46.24,2016
112,Colombia,29.25,9.46,19.74,24.72,20.86,45.99,2016
113,Azerbaijan,28.93,11.08,20.35,24.16,28.41,41.07,2016
114,Algeria,28.89,7.1,18.42,30.5,18.77,49.46,2016
115,Georgia,28.71,10.64,20.02,24.61,26.9,30.88,2016
116,Ukraine,28.56,9.47,19.39,22.43,22.75,29.66,2016
117,Nepal,27.34,3.0,15.64,24.99,14.43,31.2,2016
118,Kazakhstan,26.82,9.53,18.52,21.48,27.65,59.3,2016
119,Pakistan,26.69,4.68,16.11,25.4,20.64,43.34,2016
120,Moldova,25.7,7.12,16.77,20.38,18.64,32.04,2016
121,India,24.14,6.37,15.6,24.92,15.31,89.65,2016
0,Bermuda,146.19,104.76,126.34,139.55,151.39,91.65,2017
1,Switzerland,122.06,56.57,90.68,122.72,119.85,95.35,2017
2,Iceland,111.71,46.53,80.47,103.88,119.74,77.62,2017
3,Norway,106.31,39.88,74.47,98.31,117.13,105.58,2017
4,Bahamas,104.05,40.59,73.63,103.52,89.95,34.76,2017
5,Us Virgin Islands,85.86,37.23,62.56,75.41,81.12,95.82,2017
6,Japan,85.28,27.56,57.62,89.92,47.83,102.52,2017
7,Italy,83.7,21.49,53.89,73.94,76.24,71.83,2017
8,Denmark,83.02,35.02,60.01,63.84,101.01,98.76,2017
9,Singapore,82.41,70.22,76.57,71.68,58.33,92.7,2017
10,New Zealand,80.77,33.8,58.26,73.13,77.46,89.87,2017
11,Australia,80.66,42.54,62.39,76.87,77.12,101.94,2017
12,Hong Kong,79.96,84.08,81.93,81.88,54.87,81.45,2017
13,Israel,77.74,28.44,54.11,65.39,81.35,94.47,2017
14,Luxembourg,77.28,49.95,64.18,65.94,87.3,97.4,2017
15,Ireland,76.98,40.64,59.56,62.21,81.38,103.52,2017
16,Sweden,75.88,26.86,52.39,67.94,78.27,107.23,2017
17,United States,75.42,40.3,58.59,75.57,70.02,123.17,2017
18,South Korea,75.41,22.02,49.82,88.52,44.62,102.38,2017
19,Belgium,75.36,29.64,53.44,65.77,82.34,91.02,2017
20,Kuwait,75.24,37.82,57.31,81.39,45.79,69.68,2017
21,France,74.89,24.83,50.9,69.54,72.89,87.29,2017
22,Finland,73.06,26.95,50.96,61.47,76.43,114.97,2017
23,Netherlands,72.47,32.45,53.29,55.95,82.27,86.52,2017
24,Austria,71.52,25.86,49.64,65.86,66.94,95.66,2017
25,Uruguay,70.29,18.57,45.5,56.82,67.62,32.86,2017
26,Canada,70.16,29.84,50.83,69.26,65.65,108.01,2017
27,Puerto Rico,69.59,19.55,45.61,66.84,63.26,83.05,2017
28,United Kingdom,69.49,30.98,51.03,55.85,76.84,96.85,2017
29,Qatar,69.2,66.81,68.06,56.09,72.73,111.28,2017
30,United Arab Emirates,67.98,68.84,68.39,55.36,63.92,116.77,2017
31,Germany,65.5,25.35,46.26,50.09,62.62,124.88,2017
32,Malta,62.8,23.2,43.82,52.83,66.89,68.09,2017
33,Macao,62.56,39.0,51.27,56.33,48.56,86.41,2017
34,Lebanon,61.65,30.89,46.91,46.92,60.23,53.61,2017
35,Taiwan,61.38,14.8,39.06,72.89,28.14,118.57,2017
36,Ghana,60.48,46.73,53.89,56.35,43.38,14.52,2017
37,Jordan,59.22,12.51,36.83,50.19,56.19,42.27,2017
38,Costa Rica,58.57,18.76,39.5,57.55,45.38,53.63,2017
39,Bahrain,57.78,31.64,45.26,55.45,49.24,94.78,2017
40,Jamaica,56.9,11.92,35.34,55.96,39.04,36.61,2017
41,Panama,56.88,31.86,44.89,57.44,47.42,38.48,2017
42,Trinidad And Tobago,56.15,21.09,39.35,53.54,51.94,57.14,2017
43,Greece,55.87,10.2,33.98,44.95,54.62,58.24,2017
44,Belize,55.8,11.35,34.5,49.35,33.41,134.33,2017
45,Mongolia,55.56,29.65,43.14,53.99,31.81,22.83,2017
46,Spain,54.98,18.83,37.65,44.68,53.68,87.87,2017
47,Cyprus,54.07,12.28,34.04,44.06,58.05,95.92,2017
48,Palestine,53.46,10.31,32.78,50.02,37.8,50.54,2017
49,Slovenia,53.24,14.06,34.46,43.48,43.13,78.23,2017
50,Fiji,53.11,27.43,40.8,57.09,36.84,33.67,2017
51,Brazil,53.07,15.52,35.07,41.65,42.33,42.38,2017
52,Oman,52.59,27.92,40.77,49.34,51.26,111.86,2017
