,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
53,Argentina,52.57,13.92,34.05,44.06,50.37,58.4,2017
54,Dominican Republic,52.09,12.54,33.14,46.92,42.31,29.08,2017
55,Zimbabwe,51.56,13.58,33.36,44.75,39.95,27.18,2017
56,Mauritius,50.39,12.62,32.29,43.28,35.81,50.77,2017
57,Chile,50.09,15.43,33.48,43.19,44.38,61.28,2017
58,Estonia,49.5,13.98,32.47,36.74,46.76,68.48,2017
59,Portugal,49.19,16.77,33.66,39.14,41.24,62.72,2017
60,Tanzania,48.51,22.8,36.19,37.55,33.48,41.95,2017
61,Saudi Arabia,48.37,14.36,32.07,40.54,30.22,138.05,2017
62,Croatia,48.0,10.09,29.83,39.91,37.53,60.71,2017
63,Latvia,47.83,12.09,30.7,36.72,41.16,52.45,2017
64,Honduras,47.4,11.6,30.24,39.37,36.27,37.49,2017
65,Iraq,47.04,15.22,31.79,39.2,44.43,55.09,2017
66,Cambodia,46.77,14.55,31.33,50.58,22.11,16.59,2017
67,Lithuania,46.73,13.25,30.69,36.15,40.08,51.67,2017
68,Namibia,46.48,21.03,34.28,40.86,43.21,50.49,2017
69,Ecuador,46.1,12.44,29.97,44.87,30.41,37.77,2017
70,Guatemala,46.01,14.31,30.82,43.88,32.63,48.18,2017
71,El Salvador,45.95,9.38,28.42,41.17,35.15,29.7,2017
72,Libya,45.85,18.8,32.88,47.01,35.69,132.65,2017
73,Ethiopia,45.72,20.83,33.79,36.9,23.9,16.66,2017
74,Slovakia,44.9,16.49,31.29,38.84,33.17,64.75,2017
75,China,44.76,18.67,32.26,47.74,29.68,67.84,2017
76,Zambia,44.73,21.94,33.81,33.83,32.32,89.93,2017
77,Thailand,43.71,14.94,29.92,48.31,21.42,34.28,2017
78,South Africa,43.12,16.33,30.28,36.27,40.2,98.96,2017
79,Hungary,42.77,12.67,28.35,33.62,32.72,47.52,2017
80,Russia,42.01,17.58,30.3,33.58,43.85,48.27,2017
81,Czech Republic,41.22,14.83,28.57,35.84,27.99,76.22,2017
82,Indonesia,41.11,11.66,26.99,45.8,20.29,27.61,2017
83,Malaysia,40.24,11.19,26.32,42.44,20.87,73.34,2017
84,Vietnam,40.11,15.49,28.31,39.6,20.46,24.77,2017
85,Peru,39.47,17.23,28.81,36.17,25.5,41.2,2017
86,Montenegro,39.35,9.54,25.06,31.1,35.03,46.61,2017
87,Kenya,39.0,9.68,24.95,37.65,29.98,30.99,2017
88,Bolivia,38.65,11.07,25.43,32.13,27.97,46.74,2017
89,Turkey,38.6,10.56,25.16,33.46,26.45,55.64,2017
90,Venezuela,38.3,7.51,23.55,39.4,37.34,3.35,2017
91,Iran,38.26,17.05,28.09,33.53,33.17,43.18,2017
92,Poland,38.15,13.93,26.54,29.69,31.53,71.75,2017
93,Nigeria,36.82,17.62,27.62,37.02,22.37,25.23,2017
94,Bulgaria,36.49,8.91,23.27,30.49,29.56,51.4,2017
95,Bangladesh,36.1,5.61,21.49,32.71,24.86,37.0,2017
96,Romania,35.63,9.59,23.15,29.05,30.16,53.44,2017
97,Morocco,35.53,10.44,23.5,31.51,23.89,41.2,2017
98,Bosnia And Herzegovina,35.05,6.22,21.23,29.76,24.22,51.29,2017
99,Philippines,34.71,7.32,21.58,33.95,19.86,36.0,2017
100,Colombia,34.45,10.69,23.06,28.76,24.97,37.63,2017
101,Uganda,34.14,6.83,21.05,29.41,20.79,19.42,2017
102,Armenia,33.87,9.91,22.39,26.83,31.03,32.88,2017
103,Belarus,33.84,12.21,23.47,27.19,37.6,36.43,2017
104,Serbia,33.79,7.25,21.07,24.96,27.2,40.8,2017
105,Sri Lanka,33.47,8.74,21.62,36.79,19.51,30.28,2017
106,Albania,32.42,6.3,19.9,26.07,25.06,34.49,2017
107,Algeria,32.38,6.83,20.14,32.5,20.12,36.66,2017
108,North Macedonia,30.93,6.02,18.99,25.41,20.74,39.85,2017
109,Kazakhstan,30.74,11.27,21.41,24.83,32.04,44.84,2017
110,Nepal,30.02,3.36,17.24,26.38,16.27,25.09,2017
111,Mexico,29.81,8.37,19.53,28.06,25.8,60.08,2017
112,Tunisia,28.74,6.1,17.89,27.58,16.95,40.19,2017
113,Moldova,28.37,7.85,18.54,21.97,20.32,29.38,2017
114,Syria,28.31,5.98,17.61,26.72,22.21,14.08,2017
115,Azerbaijan,27.76,10.66,19.57,22.93,29.25,30.8,2017
116,Georgia,27.37,8.57,18.36,22.26,26.65,33.03,2017
117,Pakistan,27.18,5.03,16.57,24.83,21.01,39.95,2017
118,Ukraine,26.22,9.36,18.14,19.87,19.69,26.93,2017
119,India,25.08,6.77,16.31,25.2,16.38,76.73,2017
120,Egypt,22.36,5.03,14.05,19.01,18.56,29.39,2017
0,Bermuda,144.88,100.71,123.57,143.42,151.59,104.24,2018
1,Switzerland,131.39,53.84,93.99,133.34,131.86,126.15,2018
2,Iceland,123.96,54.63,90.52,118.95,132.59,87.84,2018
3,Norway,113.7,40.85,78.57,106.52,125.04,107.95,2018
4,Bahamas,100.68,35.31,69.16,88.38,102.08,71.4,2018
5,Luxembourg,96.56,59.87,78.87,84.98,107.94,116.73,2018
6,Denmark,93.3,36.62,65.96,72.46,113.39,117.53,2018
7,Singapore,91.4,71.89,81.99,83.64,64.4,95.89,2018
8,Japan,86.58,25.6,57.17,91.58,49.16,107.35,2018
9,Israel,86.53,35.57,61.95,72.44,94.89,102.3,2018
10,Ireland,85.45,47.16,66.98,69.51,93.16,96.1,2018
11,Australia,84.3,41.85,63.83,80.66,81.57,122.98,2018
12,France,83.86,28.62,57.22,78.06,81.87,101.21,2018
13,Sweden,83.7,28.01,56.84,76.1,86.67,113.01,2018
14,New Zealand,83.41,33.79,59.48,76.98,79.05,98.61,2018
15,Belgium,83.35,28.05,56.68,72.79,93.25,98.91,2018
16,South Korea,82.94,23.39,54.22,99.67,48.98,109.36,2018
17,Netherlands,82.69,36.21,60.27,65.83,92.73,109.48,2018
18,Finland,81.7,29.72,56.63,68.78,86.89,119.42,2018
19,Austria,81.47,29.28,56.3,76.77,75.85,98.69,2018
20,Italy,79.06,23.14,52.09,68.05,84.74,81.07,2018
21,Hong Kong,78.72,79.54,79.12,83.47,56.17,82.86,2018
22,United Kingdom,75.85,33.4,55.38,60.96,83.87,108.54,2018
23,Germany,74.35,29.06,52.51,58.87,71.21,125.01,2018
24,United States,72.95,38.52,56.35,73.93,69.95,127.62,2018
25,Canada,72.48,30.82,52.38,71.44,68.7,118.92,2018
26,Malta,70.92,29.33,50.86,59.82,75.14,66.24,2018
27,United Arab Emirates,67.21,60.72,64.08,55.59,63.33,124.78,2018
28,Puerto Rico,66.99,18.69,43.7,66.25,55.72,103.77,2018
29,Uruguay,66.88,20.03,44.29,54.51,69.18,34.31,2018
30,Taiwan,65.42,15.06,41.13,79.24,28.86,106.38,2018
31,Qatar,65.37,65.33,65.35,57.5,64.8,125.05,2018
32,Greece,63.15,11.82,38.4,50.87,61.7,53.8,2018
33,Spain,61.75,22.23,42.69,51.28,60.56,90.67,2018
34,Jamaica,60.62,12.47,37.4,60.25,39.67,35.26,2018
35,Cyprus,60.32,15.44,38.68,49.67,65.36,94.78,2018
36,Lebanon,60.23,27.93,44.65,46.15,58.7,56.36,2018
37,Ghana,59.79,32.79,46.77,54.89,37.39,15.95,2018
38,Slovenia,59.65,15.5,38.36,50.78,48.93,80.33,2018
39,Bahrain,59.63,31.05,45.84,57.99,54.16,72.29,2018
40,Palestine,58.16,10.29,35.07,54.43,41.78,60.19,2018
41,Estonia,57.65,15.81,37.47,43.8,56.8,74.82,2018
42,Kuwait,56.9,36.33,46.98,43.97,48.48,100.58,2018
43,Costa Rica,56.2,17.65,37.61,55.56,45.89,54.7,2018
44,Portugal,55.86,20.39,38.75,45.47,46.83,61.97,2018
45,Chile,55.24,16.61,36.61,47.8,51.4,54.53,2018
46,Jordan,55.09,12.07,34.34,46.54,52.66,43.43,2018
47,Croatia,55.06,12.02,34.31,46.33,43.42,59.77,2018
48,Mauritius,55.04,13.33,34.92,49.51,39.37,46.66,2018
49,Trinidad And Tobago,54.57,18.76,37.3,53.37,50.33,54.91,2018
50,Argentina,53.74,13.84,34.5,44.64,53.69,60.15,2018
51,Latvia,53.42,13.35,34.1,42.47,48.05,53.1,2018
52,Lithuania,53.24,15.21,34.9,41.74,48.86,57.29,2018
53,Panama,52.41,26.59,39.96,53.04,44.3,39.12,2018
54,Brazil,51.33,13.89,33.27,39.69,41.21,41.56,2018
55,Slovakia,50.41,18.86,35.19,43.66,37.34,67.29,2018
56,Czech Republic,50.09,19.07,35.13,43.62,36.03,76.35,2018
57,Zimbabwe,49.54,12.29,31.57,44.3,37.66,27.29,2018
58,Oman,49.31,20.31,35.32,46.71,46.17,99.24,2018
59,Thailand,48.91,17.1,33.57,54.9,23.94,38.59,2018
60,Hungary,48.6,15.37,32.57,38.61,37.38,50.62,2018
61,South Africa,48.05,17.91,33.51,40.66,45.74,99.83,2018
62,Dominican Republic,47.9,10.3,29.77,41.87,43.65,27.43,2018
63,El Salvador,47.87,11.45,30.31,46.79,36.16,30.92,2018
64,Saudi Arabia,47.86,13.5,31.29,42.04,32.03,131.46,2018
65,Ethiopia,47.55,24.02,36.2,39.15,20.21,14.98,2018
66,Guatemala,46.87,14.59,31.3,44.62,36.81,41.3,2018
67,Zambia,46.49,19.5,33.47,40.41,33.5,101.26,2018
68,Cambodia,45.92,13.55,30.31,49.33,23.07,14.94,2018
69,Poland,45.2,16.63,31.42,35.85,37.7,74.42,2018
70,Tanzania,44.97,19.0,32.45,34.48,29.36,23.1,2018
71,Malaysia,44.73,11.52,28.72,48.21,23.22,72.98,2018
72,China,44.56,18.38,31.93,47.73,29.59,72.28,2018
73,Montenegro,44.41,10.85,28.22,35.75,38.08,48.68,2018
74,Ecuador,44.28,11.18,28.32,42.85,30.82,39.39,2018
75,Honduras,44.28,10.64,28.06,36.58,32.99,34.86,2018
76,Russia,43.89,16.61,30.73,35.9,45.91,51.11,2018
77,Iraq,43.88,12.84,28.91,37.67,38.4,51.2,2018
78,Turkey,41.8,10.38,26.65,36.17,31.23,53.78,2018
79,Bulgaria,41.21,9.81,26.06,35.2,33.61,54.44,2018
80,Indonesia,39.74,8.5,24.68,43.52,19.5,37.49,2018
81,Romania,39.71,10.85,25.79,32.83,33.28,66.2,2018
82,Peru,39.64,14.4,27.47,35.87,26.29,37.07,2018
83,Serbia,39.59,8.44,24.57,29.95,31.45,41.81,2018
84,Vietnam,39.44,15.11,27.71,39.09,19.96,30.09,2018
85,Bosnia And Herzegovina,39.26,6.94,23.68,33.76,26.68,52.4,2018
86,Kenya,38.72,8.67,24.23,36.57,31.61,32.06,2018
87,Albania,37.88,7.33,23.15,30.87,29.08,37.03,2018
88,Morocco,37.12,11.46,24.74,33.26,25.76,45.07,2018
89,Bolivia,36.53,9.87,23.67,28.84,28.52,44.68,2018
90,Philippines,35.99,8.04,22.51,34.3,20.94,34.02,2018
91,Colombia,35.29,10.13,23.16,29.52,26.68,38.59,2018
92,North Macedonia,34.84,6.91,21.37,28.73,23.64,42.55,2018
93,Nigeria,34.65,15.97,25.64,35.8,22.06,19.56,2018
94,Iran,34.56,15.9,25.56,31.0,27.27,45.6,2018
95,Sri Lanka,34.32,8.33,21.78,38.38,19.69,29.56,2018
96,Kazakhstan,34.25,11.23,23.15,28.06,35.41,40.75,2018
97,Belarus,34.06,10.58,22.74,27.91,35.76,41.32,2018
98,Mexico,33.56,9.51,21.96,32.18,29.48,58.18,2018
99,Armenia,33.45,8.81,21.57,27.75,31.21,31.78,2018
100,Moldova,33.1,8.75,21.36,26.64,23.52,29.27,2018
101,Uganda,32.67,6.83,20.21,28.32,23.17,21.39,2018
102,Nepal,32.62,4.43,19.02,30.18,19.03,25.33,2018
103,Venezuela,32.21,7.62,20.35,33.83,26.7,4.0,2018
104,Algeria,32.13,6.05,19.55,33.8,17.6,35.98,2018
105,Bangladesh,31.99,5.55,19.24,30.25,21.2,39.57,2018
106,Azerbaijan,30.62,9.5,20.43,27.43,30.59,28.71,2018
107,Georgia,29.66,9.76,20.06,24.59,29.15,35.5,2018
108,Kosovo (Disputed Territory),29.44,8.65,19.41,26.29,20.97,59.23,2018
109,Syria,27.81,5.12,16.87,26.23,22.16,11.32,2018
110,Tunisia,27.67,5.81,17.13,26.41,17.05,38.23,2018
111,India,26.88,6.77,17.18,27.46,18.34,79.27,2018
112,Ukraine,25.98,8.85,17.72,20.38,18.62,30.24,2018
113,Egypt,25.69,5.07,15.75,23.01,21.02,24.67,2018
114,Pakistan,25.08,5.29,15.54,23.81,19.02,41.11,2018
0,Switzerland,121.16,50.25,87.11,120.81,123.09,129.7,2019
1,Iceland,101.86,48.28,76.13,92.1,111.85,91.8,2019
2,Norway,100.99,37.28,70.4,92.67,111.53,103.61,2019
3,Bahamas,92.4,33.49,64.11,76.97,99.92,57.01,2019
4,Luxembourg,86.09,55.64,71.47,75.1,96.08,106.26,2019
5,Japan,83.33,27.97,56.75,83.58,48.75,103.12,2019
6,Denmark,81.38,32.91,58.11,63.62,95.14,114.39,2019
7,Hong Kong,78.14,76.83,77.51,80.3,56.08,69.34,2019
8,South Korea,76.93,22.23,50.66,89.7,44.84,103.4,2019
9,Ireland,75.35,41.8,59.24,59.1,82.65,95.09,2019
10,France,74.85,26.25,51.51,68.31,75.37,91.55,2019
11,Netherlands,74.83,34.74,55.58,58.8,83.49,102.54,2019
12,Israel,74.28,29.42,52.74,61.92,80.83,92.48,2019
13,Belgium,72.97,25.81,50.32,60.86,83.4,95.09,2019
14,Finland,72.82,26.14,50.4,60.02,77.91,112.3,2019
15,New Zealand,72.62,31.64,52.94,65.71,68.78,101.09,2019
16,Australia,72.08,35.5,54.52,66.9,70.69,122.85,2019
17,Austria,71.79,27.63,50.58,65.63,70.08,96.7,2019
18,Sweden,71.55,26.05,49.7,63.45,75.04,111.38,2019
19,United States,69.91,38.98,55.06,67.44,69.33,122.03,2019
20,Singapore,69.79,53.1,61.77,57.48,46.75,103.77,2019
21,Italy,69.25,21.68,46.4,58.34,75.72,77.49,2019
22,Germany,67.62,26.85,48.04,54.27,63.56,116.2,2019
23,United Kingdom,65.28,28.6,47.66,51.85,72.37,105.73,2019
24,Canada,65.01,28.32,47.39,62.37,61.81,109.44,2019
25,Puerto Rico,63.84,17.96,41.81,61.66,54.82,98.39,2019
26,Malta,63.32,28.68,46.69,51.23,67.28,59.67,2019
27,Taiwan,59.84,23.37,42.33,69.61,26.88,56.36,2019
28,Qatar,59.09,46.56,53.07,47.72,61.95,138.29,2019
29,Jamaica,58.8,14.74,37.64,58.84,42.26,34.69,2019
30,Lebanon,58.06,26.92,43.11,43.28,56.79,53.97,2019
31,Uruguay,57.31,16.21,37.57,45.11,56.28,47.77,2019
32,Bahrain,56.71,29.56,43.67,51.16,52.21,74.61,2019
33,Greece,56.66,10.8,34.64,43.69,54.76,49.57,2019
34,United Arab Emirates,56.16,40.98,48.87,43.16,53.88,119.6,2019
35,Cyprus,55.57,20.23,38.6,44.32,59.76,75.29,2019
36,Jordan,54.98,11.87,34.28,44.43,52.28,41.73,2019
37,Spain,54.7,20.73,38.39,44.02,54.13,83.8,2019
38,Slovenia,52.51,15.36,34.67,43.27,43.83,75.38,2019
39,Mauritius,52.44,11.53,32.8,47.89,39.14,39.77,2019
40,Myanmar,52.38,24.72,39.09,54.76,20.24,13.98,2019
41,Trinidad And Tobago,52.07,17.13,35.29,50.0,46.0,56.97,2019
42,Zimbabwe,51.57,11.67,32.41,45.74,36.81,27.65,2019
43,Kuwait,51.48,32.94,42.58,39.88,47.35,102.01,2019
44,Panama,51.45,24.63,38.57,48.21,47.06,41.34,2019
45,Ghana,51.13,31.57,41.74,44.76,31.74,18.7,2019
46,Estonia,51.01,15.38,33.9,37.06,51.24,75.97,2019
47,Fiji,50.93,22.7,37.38,57.63,36.46,35.44,2019
48,Costa Rica,50.89,15.48,33.89,47.91,42.58,47.13,2019
49,Portugal,50.39,21.07,36.31,40.2,43.13,55.19,2019
50,Palestine,50.2,9.0,30.41,43.9,37.33,57.17,2019
51,Belize,49.45,8.81,29.93,42.86,36.66,70.85,2019
52,Latvia,49.23,12.02,31.36,36.65,45.47,55.16,2019
53,Croatia,49.18,11.6,31.13,40.33,40.36,60.33,2019
54,Chile,47.73,15.22,32.12,40.55,45.15,54.13,2019
55,Saudi Arabia,47.61,11.4,30.22,39.06,30.93,118.59,2019
56,Thailand,47.54,17.71,33.21,50.0,24.63,40.86,2019
57,Cambodia,46.8,14.44,31.26,44.15,24.44,12.46,2019
58,Oman,46.2,19.89,33.57,40.02,44.41,88.47,2019
59,El Salvador,46.11,14.19,30.78,45.57,35.55,30.09,2019
60,Lithuania,45.91,12.9,30.06,35.36,43.95,60.34,2019
61,Nicaragua,45.83,9.54,28.4,46.36,31.14,24.52,2019
62,Czech Republic,45.12,18.27,32.23,38.08,33.25,71.32,2019
63,Slovakia,44.98,16.13,31.13,38.5,33.64,63.24,2019
64,Dominican Republic,44.92,10.21,28.25,35.68,42.43,26.02,2019
65,Namibia,43.22,17.46,30.85,39.92,38.59,63.6,2019
66,Brazil,42.8,11.46,27.75,31.3,34.85,37.43,2019
67,South Africa,42.49,16.5,30.01,33.88,40.79,82.97,2019
68,Honduras,42.1,10.76,27.05,33.57,31.52,35.22,2019
69,Hungary,42.03,13.64,28.4,32.36,33.43,54.66,2019
70,Ecuador,41.98,11.61,27.4,37.87,29.43,40.84,2019
71,Guatemala,41.74,13.93,28.39,38.02,32.28,41.79,2019
72,Cuba,40.5,8.11,24.95,34.3,28.29,2.47,2019
73,Iraq,39.62,11.46,26.1,34.1,31.85,47.61,2019
74,Montenegro,39.61,9.95,25.37,30.75,34.25,46.28,2019
75,Malaysia,39.38,10.92,25.71,39.7,22.75,73.14,2019
76,China,39.24,17.36,28.73,39.93,28.18,68.95,2019
77,Poland,39.13,14.92,27.5,30.66,32.72,70.0,2019
78,Kenya,38.21,10.05,24.69,33.23,31.22,32.46,2019
79,Vietnam,37.7,13.1,25.88,37.87,18.89,33.33,2019
80,Bulgaria,37.17,9.15,23.72,31.15,29.86,52.18,2019
81,Peru,37.17,11.96,25.06,32.69,23.68,37.47,2019
82,Romania,36.45,10.0,23.75,29.88,32.26,61.16,2019
83,Indonesia,36.24,8.43,22.88,38.14,18.02,32.95,2019
84,Albania,36.17,8.21,22.74,28.59,29.34,33.81,2019
85,Iran,35.8,16.92,26.73,32.63,26.88,37.74,2019
86,Bosnia And Herzegovina,35.72,6.32,21.6,28.81,23.78,49.18,2019
87,Russia,35.52,12.68,24.55,29.18,37.0,45.38,2019
88,Serbia,35.39,8.08,22.27,26.3,27.84,39.9,2019
89,Turkey,35.21,7.23,21.78,30.45,23.65,45.33,2019
90,Philippines,35.09,8.09,22.12,32.61,19.67,29.46,2019
91,Tanzania,34.74,16.03,25.76,28.59,25.15,22.71,2019
92,Bolivia,34.37,10.88,23.09,26.9,27.96,44.05,2019
93,Morocco,33.98,9.48,22.21,29.85,23.85,41.4,2019
94,Belarus,33.12,9.96,22.0,27.77,35.98,44.64,2019
95,Argentina,33.09,9.48,21.75,26.25,32.5,55.0,2019
96,Mexico,32.71,10.06,21.83,30.3,30.23,49.98,2019
97,Armenia,32.51,9.9,21.65,25.77,32.53,33.06,2019
98,Paraguay,32.27,9.38,21.28,26.03,25.75,35.57,2019
99,Moldova,32.26,7.97,20.6,24.97,27.71,30.75,2019
100,Bangladesh,31.83,5.44,19.16,29.52,18.97,39.82,2019
101,North Macedonia,31.58,6.47,19.52,24.85,23.67,39.83,2019
102,Nigeria,31.25,28.97,30.15,31.76,19.2,15.13,2019
103,Algeria,30.56,5.51,18.53,32.0,16.38,32.93,2019
104,Uganda,30.25,8.51,19.81,26.09,21.9,22.72,2019
105,Sri Lanka,30.24,7.57,19.36,33.57,17.36,27.34,2019
106,Colombia,30.15,9.17,20.07,24.33,22.46,34.66,2019
107,Kazakhstan,29.83,9.78,20.2,23.75,29.83,38.83,2019
108,Nepal,29.63,4.6,17.61,25.4,19.74,26.28,2019
109,Azerbaijan,29.12,8.72,19.32,24.08,30.67,32.01,2019
110,Georgia,28.78,8.53,19.05,23.39,27.09,33.19,2019
111,Ukraine,27.94,9.53,19.1,22.47,22.14,32.72,2019
112,Uzbekistan,27.11,8.27,18.06,23.9,21.14,25.09,2019
113,Egypt,26.46,5.01,16.16,23.19,22.26,23.67,2019
114,Kosovo (Disputed Territory),26.18,8.05,17.48,23.21,19.57,61.82,2019
115,Venezuela,25.73,5.89,16.2,27.58,21.98,3.71,2019
116,India,24.17,5.84,15.37,24.2,17.15,66.91,2019
117,Tunisia,23.69,4.96,14.69,22.27,13.33,37.99,2019
118,Pakistan,20.4,4.5,12.76,18.25,15.42,38.61,2019
